team,mean_elo,year,Conference
Pelicans,,1983,West
Pelicans,,1984,West
Pelicans,,1985,West
Pelicans,,1986,West
Pelicans,,1987,West
Pelicans,,1988,West
Pelicans,1275.917012,1989,West
Pelicans,1269.995755,1990,West
Pelicans,1345.2692,1991,West
Pelicans,1394.257112,1992,West
Pelicans,1470.992412,1993,West
Pelicans,1491.782755,1994,West
Pelicans,1551.342112,1995,West
Pelicans,1497.589174,1996,West
Pelicans,1545.757745,1997,West
Pelicans,1567.960146,1998,West
Pelicans,1511.136798,1999,West
Pelicans,1561.00145,2000,West
Pelicans,1567.985664,2001,West
Pelicans,1529.51351,2002,West
Pelicans,1542.7082,2003,West
Pelicans,1514.046107,2004,West
Pelicans,1372.631874,2005,West
Pelicans,1443.967438,2006,West
Pelicans,1451.954134,2007,West
Pelicans,1596.442441,2008,West
Pelicans,1590.729437,2009,West
Pelicans,1470.542978,2010,West
Pelicans,1528.978664,2011,West
Pelicans,1419.204917,2012,West
Pelicans,1424.574637,2013,West
Pelicans,1444.298726,2014,West
Pelicans,1500.746628,2015,West
Celtics,,1976,East
Celtics,1507.140185,1977,East
Celtics,1455.133067,1978,East
Celtics,1416.933871,1979,East
Celtics,1603.686266,1980,East
Celtics,1674.921313,1981,East
Celtics,1676.539897,1982,East
Celtics,1654.103579,1983,East
Celtics,1647.147539,1984,East
Celtics,1686.32845,1985,East
Celtics,1723.489248,1986,East
Celtics,1701.847296,1987,East
Celtics,1637.97156,1988,East
Celtics,1536.398606,1989,East
Celtics,1547.215017,1990,East
Celtics,1610.772931,1991,East
Celtics,1558.60115,1992,East
Celtics,1542.131274,1993,East
Celtics,1444.515178,1994,East
Celtics,1432.748791,1995,East
Celtics,1416.791091,1996,East
Celtics,1339.361039,1997,East
Celtics,1399.552437,1998,East
Celtics,1434.95757,1999,East
Celtics,1459.953702,2000,East
Celtics,1448.977872,2001,East
Celtics,1530.33509,2002,East
Celtics,1521.860967,2003,East
Celtics,1457.156029,2004,East
Celtics,1498.233393,2005,East
Celtics,1471.004068,2006,East
Celtics,1389.886009,2007,East
